2	1
0	0
3	1
1	2
2	1
4	0
4	4
5	2
2	1
2	0
1	0
6	1
7	0
5	0
8	1
9	0
10	0
11	1
10	0
5	2
12	0
1	0
13	3
0	0
14	10
2	2
15	0
16	13
17	1
10	0
13	13
5	1
4	2
1	2
18	1
19	1
10	2
12	1
20	10
21	0
22	2
12	10
23	10
10	1
24	13
25	2
12	23
5	15
26	0
0	1
27	0
28	1
16	2
10	13
29	1
30	23
31	2
27	28
32	28
33	4
34	10
35	0
36	2
1	13
37	13
2	2
29	0
38	1
2	0
39	2
40	36
10	1
41	1
42	2
43	2
10	3
0	1
12	28
44	1
45	4
26	1
46	27
1	0
15	1
19	0
5	28
8	24
26	0
5	1
5	1
37	1
47	1
48	1
49	2
50	13
51	10
2	2
6	2
15	1
52	0
53	1
54	13
55	1
56	2
0	2
57	13
12	10
18	1
58	2
59	2
60	2
61	16
62	16
2	1
39	1
2	2
63	2
1	0
64	30
40	30
65	23
66	1
16	1
67	13
68	49
1	10
36	1
69	0
70	17
1	0
71	24
72	4
73	1
74	24
39	0
10	1
75	24
70	4
76	1
77	13
1	10
78	36
79	43
2	1
80	13
10	78
19	1
81	10
70	1
82	13
83	0
32	0
84	2
66	2
85	1
83	1
86	36
87	27
88	25
10	43
89	17
26	1
90	1
91	9
92	17
93	1
25	17
94	21
10	13
95	10
96	2
97	2
34	24
98	0
99	0
95	1
100	4
101	41
102	2
51	2
10	0
103	2
104	33
35	1
105	2
106	1
107	0
108	2
95	61
1	1
55	0
109	19
93	1
110	0
111	1
112	2
6	17
61	45
0	23
113	10
110	13
77	19
69	1
114	0
113	44
10	0
115	1
116	0
25	17
117	2
118	1
106	2
119	1
120	2
121	13
81	0
35	1
1	0
27	23
122	0
123	19
21	0
3	68
76	2
76	24
27	27
124	36
10	43
10	2
36	2
125	0
1	2
0	0
10	1
126	1
39	1
127	2
29	15
128	1
102	0
114	2
42	10
129	13
95	0
130	0
1	16
15	1
131	1
132	2
133	2
35	0
134	55
135	13
35	2
136	2
20	2
76	0
10	3
8	36
26	1
1	1
137	91
25	2
26	0
138	2
139	1
140	1
141	30
60	2
48	24
1	27
85	0
142	1
0	36
1	2
143	0
144	1
145	144
146	1
70	2
4	46
147	5
148	10
25	79
149	10
132	24
4	2
75	23
150	0
151	2
63	144
